title,creator,collection,location,lat-long,subject,description,date-digital,date-original,date,format,digitization-specifications,iwrri-number,resource-identifier,rights-management,publisher,contributors,type,contributing-institution,metadata-cataloger,series,reference-url,cdm-number,cdm-file-name,full-resolution
1987 Program report,"Bloomsburg, George L.",IWRRI,,,research needs; research priorities; institutional constraints,This report addresses the research and information dissemination activities of the Idaho Water Resources Research Institute during the 1987 fiscal year. Synopses are presented for the following research projects: Groundwater Management Under the Appropriation Doctrine--Part III; Developing an Integrated Model for Evaluating the Economic and Ecologic Effects of Reducing Nonpoint Source Pollution in a Palouse Watershed; Groundwater Contamination from Agriculturally Applied Pesticides; Development and Demonstration of Pump Station and Surface Diversion Systems for Water and Energy Efficiency Improvements; Application and Testing of an Index of Biotic Integrity to Assess the Land Use Activities on Receiving Streams in Idaho; Adsorptive Separation Methods; Use of Multivariate Modeling to Estimate Impacts of Groundwater Withdrawals on Streamflow for the Camas Creek Basin and Mean Annual Precipitation Map for Idaho. Information dissemination and workshop activities are also reported.,2012,8/1/1988,1988-08,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,fy87,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,Water for Idaho,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/438,438,438.pdf,Volume18/fy87.pdf
1996 Water budget for the Treasure Valley aquifer system,"Urban, Scott M.; Petrich, Christian R.",IWRRI,Treasure Valley,"43.660000, -116.600000",water budget; aquifer systems; hydrologic models,"This report presents a water budget for the Treasure Valley aquifer system for the calendar year 1996. The water budget provides an estimate of the current balance between total aquifer withdrawals and discharge, aquifer recharge, and changes in aquifer storage. Specific objectives for this water budget were to (1) define major water budget components, (2) estimate inflows and outflows for the Treasure Valley aquifer systems, (3) describe, where possible, the spatial characteristics of the water budget data, (4) create, where possible, GIS coverages of the water budget data, and (5) create input files (e.g., recharge, withdrawals and ET) for the Treasure Valley ground water flow model.",2012,1/1/1998,1998-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",,wbud96-u-2,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/431,431,431.pdf,Volume18/wbud96-u-2.pdf
"Abundance, growth, distribution, and movements of white sturgeon in the Mid-Snake River. Research technical completion report, project B-026-IDA","Coon, John C.; Bjornn, T. C.; Ringe, Rudy R.",IWRRI,Lower Granite Dam,"46.63, -117.38",sturgeon; population growth; dam effects,"During the years 1972-75, we captured 876 sturgeon from the Snake River between Lower Granite and Hells Canyon dams. We marked or tagged the sturgeon so that we could assess their abundance, growth, distribution and movements. We recaptured 204 of the sturgeon, some up to eight times. Some of the large pools in the Snake River contained more than 200 sturgeon, according to our estimates. By expanding the population estimates we made for several pools in the river, we believe 8,000-12,000 sturgeon resided in the study area during the period 1973-1975. Small sturgeon (less than 3 feet) were the most abundant (86%) of the fish caught. Sturgeon 3-6 feet in length were least abundant (4%) and large fish (over 6 feet in length) comprised 10% of the fish we caught. There was some tendency for the small 2 to 3 foot sturgeon to move downstream, whereas the larger sturgeon did not move far from the original site of capture. Growth of sturgeon produced since dams were constructed in Hells Canyon was less than for sturgeon produced prior to damming of the river. Sturgeon are reproducing successfully in the middle section of the Snake River but the population may not thrive as in past years if the growth rate has indeed slowed and if critical habitat for the rearing of 3-6 foot sturgeon has been eliminated by dams in the lower Snake River",2012,9/1/1977,1977-09,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197708,197708,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/491,491,491.pdf,Volume21/197708.pdf
"The accumulation and distribution of organochlorines and some heavy metals in American Falls Reservoir fishes, water, and sediment","Kent, James C.",IWRRI,American Falls Reservoir,"42.99, -112.69",heavy metals; chlorinated hydrocarbons; biological samples,"Chlorinated hydrocarbon residues (DDT metabolites, dieldrin, and PCB's) were found in fish flesh samples and sediment in American Falls Reservoir. The concentration and type of chlorinated hydrocarbon varied with fish species and age. The mean value for PCB's in large suckers was 671 Mg/kg. The Environmental Protection Agency has recommended that PCB concentrations in any sample consumed by any bird or mammal be no greater than 500 rg/kg. Chlorinated hydrocarbons were not detected in the water samples.",2012,1/1/1976,1976-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197608,Kent_1976,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/476,476,476.pdf,Volume21/Kent_1976.pdf
Acute toxicity of zinc to cutthroat trout,"Sappington, Claude Wayne",Coeur d'Alene Basin,,,zinc; heavy metals; bioassay; trout,"Determinations of the acute toxicity of zinc to Cutthroat trout (Salmo clarki) fingerlings were conducted using mo bioassay systems. Methyl orange alkalinity of the test water wds 23.9 ppm as calcium carbonate. PH values were near neutrality. In a standard, static bioassay, 24, 48 and 96 hr median tolerance limit (TLm) values of 0.62, 0.27 and 0.09 ppm zinc respectively were obtained. Results of a recirculating, flowingwater bioassay showed a 24 hr TLm value of 0.42 ppm zinc. No 48 or 96 hr values were found due to statistical non-significance of the data. The inconclusiveness of the results of the running system is due to changes in the concentration of zinc present in the test water a s a result of sorption of the zinc ions to the'bottom and sides of the test tank.",2012,3/1/1969,1969-03,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",196917,196917,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/225,225,225.pdf,Volume11/196917.pdf
Adaptation of the Glover/Balmer/Jenkins analytical stream-depletion methods for no-flow and recharge boundaries. Technical completion report 201101,Creator,IWRRI,,,research needs; research priorities; institutional constraints,"This report addresses the first three assumptions. This allows more confident use of the model in bounded aquifers that are in communication with rivers of finite length, and allows some estimates of where along the river the effects of pumping will be expressed.",2011,1/1/2011,2011-01,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",201101,201101,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/442,442,442.pdf,Volume18/201101.pdf
Adaptation of the Glover/Balmer/Jenkins analytical stream-depletion methods for no-flow and recharge boundaries. Supplemental files,"Contor, Bryce A.",,,,aquifers; streamflow depletion; rivers; model studies; pump wells;recharge,"Supporting information; Six Microsoft Excel worksheets containing raw data, charts, maps.  Technical Completion Report 201101.",3/6/2012,3/6/2012,2012-03-06,xls,"Microsoft Office Excell 97-2003 Worksheet; 8,989,280 bytes",201101supp,201101supp.,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,Idaho Water Resources Research Institute;University of Idaho,Idaho Water Resources Research Institute,Text,University of Idaho,Jodi Haire,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/86,86,86.xls,Volume6/Jenkins 201201 excel data.xls
Administration of ground water as a nonrenewable resource,"Ralston, D. R.",,Raft River Basin,"42.29, -113.47",water rights; administration; groundwater depletion;,"Ground water is generally administered with surface water as a flow or renewable resource. In Idaho, the administration is based on the appropriation doctrine of water rights. This doctrine provides for the division of a perennial but limited supply of water between various users. The purpose of this paper is to show that more consideration should be given to the administration of ground water as a nonrenewable stock resource. The development of the water resource of the Raft River basin in Idaho is presented as an example of the inapplicability of the present statutory guidelines for the administration of ground water.",2012,1974,1974,application/pdf,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197219,197219,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/117,117,117.pdf,Volume8/197219.pdf
"Advisibility of establishing a groundwater research center in Idaho. Consultants' report, Information circular no. 2","Anderson, Keith E.; Glover, Robert E.",Boise Basin,Boise Basin,"42.63, -114.53",research facilities; groundwater; feasibility studies,"The assignment was outlined for the consultants in general terms with wide latitude given in the matter of the method of investigation and preparation of report and conclusions. Primary considerations has been given to the two questions: Is there a need for such a groundwater research center in Idaho? If so, is the establishment of such a center feasible ? If such a center was deemed feasible, additional questions were then to be investigated and evaluated such as the type of center, the purpose of such a facility, cooperation with surrounding states, the relationship to the educational system in Idaho and to other agencies involved in water research or investigation, the types of investigation to be carried on and potential research problems for study, and specific recommendations concerning such a facility including its location, staffing, physical plant and equipment, costs , and possible means of financing.",2012,7/1/1969,1969-07,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",196901,196901,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/214,214,214.pdf,Volume11/196901.pdf
Aggregation of surface water canal companies into surface water irrigation entities. Technical report 04-014. Scenario Document number DDW-008,"Gilliland, Brenda K.",IWRRI,Southeastern Snake River Plain,"43.02, -112.64",surface irrigation; water rights; water conveyance,"This paper summarizes and analyzes the method of aggregating surface water irrigation companies in the study area. The topic of ground water irrigation aggregationn will be discussed in a subsequent design document, DDW-009",2012,9/1/2002,2002-09,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",200201,ddw008_AggIEs,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,ESPAM-DDW,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/421,421,421.pdf,Volume18/ddw008_aggies.pdf
"Algae production and nutrient enrichment in Lake Coeur d'Alene, Idaho","Parker, Jon Irving",IWRRI,Lake Coeur d'Alene,"47.52, -116.82",in situ tests; phytoplankton; oligotrophic lakes; mesotrophic lakes,"In situ and in vitro (under controlled conditions of light and temperature) primary production rates using radioactive C-14 were measured over a 5-month period in Coeur d'Alene Lake. Distribution of phytoplankton and physicochemical parameters were assessed to distinguish broad area differences. These differences were used to aid in the explanation of variations in productivity throughout the lake. situ rates ranged from 0. 6-6.6 gC/m day at an enriched open water lake station, where a diatom-dominated phytoplankton community existed . In vitro rates ranged from 10-2250 mgC/m3/4-hr incubation period and indicated that the northern area of the lake was oligotrophic and the middle and southern areas were strongly mesotrophic. Concentrations of phosphate, nitrate, and alkalinity were likewise higher in the middle and southern portions of the lake, which supported the productivity measurements.",2012,5/1/1972,1972-05,application/pdf,"400 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF",197215,197215,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,University of Idaho,Idaho Water Resources Research Institute; IWRRI,Text,University of Idaho,wbv,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/348,348,348.pdf,Volume17/197215.pdf
An approach to hydro-economic modeling using partial equilibrium optimization. Technical completion report 201402,"Tracy, John C.; Schmidt, Robert D.; Cuhaciyan, Jennifer",IWRRI,Boise Basin; Henrys Fork River,,model studies; hydroeconomic modeling; water supply; water demand; economic prediction; Henrys Fork River; Boise River watershed; Boise River watershed,"Conventional, economics-based water planning approaches often fail to adequately evaluate the economic efficacy of water projects by ignoring the dynamic relationship that exists between water supply and demand. More specifically, under the conventional approach to water management, which can be referred to as the supply management approach, the value of water is based upon the amount of compensation necessary to recover distribution costs (O&M, infrastructure, construction, etc.) with water demand forecasts assumed to be static and not affected by the cost of the supplied water. The demand management approach, on the other hand assumes that the costs associated with developing and delivering water supplies is invariant, and focuses on the value of water relative to the amount of water demand and controlling factors such as regulation, conservation, and availability of infrastructure. By ignoring how the demand for water changes as a result of changes in price and ignoring the change in cost associated with supplying greater amounts of water (referred to as the price/cost elasticity), both of these conventional approaches to water management fall short in their ability to adequately inform the development of effective water management strategies.   Hydro-economic analysis presents an alternative to the Demand Management and Supply Management approaches. This type of analysis utilizes economic concepts to understand how the supply and demand for water are affected by changes in the cost of developing and delivering water supplies and how the demand for these water supplies is based on the value that can be derived from the water by the water users (ie crop value). This approach moves away from a static view with a fixed and invariant water demand, to a view where the demand for water is related to the economic concept of â€œvalueâ€.  Use of an economic approach in water management and planning, particularly under conditions where water is a scarce resource, enhances the ability to develop management alternatives that are based on an efficient and equitable use of water, thereby reducing wasteful practices at both the individual and institutional scale. Given that the value of water changes with both quantity and type of use, understanding the economic costs and benefits associated with meeting the demand for water resources allows for a more effective comparison of water management alternatives. Hydro-economic analysis provides a framework for incorporating multiple-, and often competing-, objectives (ie water supply, flood control, hydropower, recreation, ecosystem requirements, etc) into a single analysis. By translatingthe value of each objective (or hydro-service) into its respective economic benefit, hydro-economic analysis allows for a direct evaluation of the economic efficacy of competing water management alternatives. Such an approach allows for a more holistic evaluation of water resource management actions, resulting in the development of more effective and sustainable water management strategies, and in turn reducing the likelihood of undesirable outcomes or unsustainable plan.",11/12/2014,10/15/2014,2014-10-15,pdf,"Microsoft Word 2010, 1.5 (Acrobat 6.x), 1,747,648 bytes",201402,201402,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,Idaho Water Resources Research Institute; University of Idaho,United States Bureau of Reclamation,text,University of Idaho,jh,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/idahowater/id/545,545,545.pdf,Volume29/201402.pdf
